Climate Watch ;SIC;;;;
Transportation ;3720;;;;
Transportation ;3721;;;;
Transportation ;4580;;;;
Transportation ;4010;;;;
Transportation ;4213;;;;
Transportation ;4512;;;;
Transportation ;4100;;;;
Transportation ;4011;;;;
Transportation ;4210;;;;
Transportation ;6331;;;;
Transportation ;3743;;;;
Transportation ;3724;;;;
Transportation ;4700;;;;
Transportation ;4581;;;;
Transportation ;7500;;;;
Transportation ;4300;;;;
Transportation ;4119;;;;
Transportation ;4000;;;;
Transportation ;3812;;;;
Building ;5310;;;;
Building ;3241;;;;
Building ;6512;;;;
Building ;6513;;;;
Building ;6500;;;;
Building ;6510;;;;
Building ;5411;;;;
Building ;5961;;;;
Building ;5500;;;;
Building ;5944;;;;
Building ;1540;;;;
Building ;5712;;;;
Building ;5200;;;;
Building ;2500;;;;
Manufacturing/Construction;3241;;;;
Manufacturing/Construction;2840;;;;
Manufacturing/Construction;3711;;;;
Manufacturing/Construction;3559;;;;
Manufacturing/Construction;2851;;;;
Manufacturing/Construction;3312;;;;
Manufacturing/Construction;1610;;;;
Manufacturing/Construction;3523;;;;
Manufacturing/Construction;5690;;;;
Manufacturing/Construction;5080;;;;
Manufacturing/Construction;2951;;;;
Manufacturing/Construction;3714;;;;
Manufacturing/Construction;1230;;;;
Manufacturing/Construction;3530;;;;
Manufacturing/Construction;3541;;;;
Manufacturing/Construction;3021;;;;
Manufacturing/Construction;1600;;;;
Manufacturing/Construction;3560;;;;
Manufacturing/Construction;5032;;;;
Manufacturing/Construction;1620;;;;
Manufacturing/Construction;3851;;;;
Energy;4924;;;;
Energy;4940;;;;
Energy;4923;;;;
Energy;5160;;;;
Energy;3674;;;;
Energy;4991;;;;
Energy;4922;;;;
Energy;4932;;;;
Other Fuel Combustion;1200;;;;
Other Fuel Combustion;3612;;;;
Bunker Fuels ;1380;;;;
Bunker Fuels ;3011;;;;
Bunker Fuels ;2911;;;;
Bunker Fuels ;5983;;;;
Bunker Fuels ;2911;;;;
Bunker Fuels ;6792;;;;
Bunker Fuels ;1311;;;;
Bunker Fuels ;1381;;;;
Agriculture ;100;;;;
Agriculture ;2000;;;;
Agriculture ;2020;;;;
Agriculture ;2099;;;;
Waste;5411;;;;
Waste;5812;;;;
Waste;2085;;;;
Waste;2080;;;;
Waste;5140;;;;
Waste;5399;;;;
Waste;2084;;;;
Waste;4941;;;;
Electricity/Heat;4930;;;;
Electricity/Heat;4920;;;;
Electricity/Heat;4812;;;;
Electricity/Heat;4911;;;;
Electricity/Heat;4910;;;;
Electricity/Heat;4931;;;;
Electricity/Heat;3675;;;;
Electricity/Heat;4810;;;;
Electricity/Heat;3430;;;;
Electricity/Heat;4813;;;;
Electricity/Heat;3845;;;;
Electricity/Heat;4841;;;;
Electricity/Heat;7379;;;;
Electricity/Heat;3640;;;;
Electricity/Heat;3610;;;;
Electricity/Heat;3679;;;;
Electricity/Heat;3630;;;;
Electricity/Heat;3620;;;;
Electricity/Heat;4833;;;;
Electricity/Heat;7372;;;;
Electricity/Heat;7370;;;;
Electricity/Heat;7385;;;;
Electricity/Heat;4899;;;;
Electricity/Heat;3678;;;;
Electricity/Heat;3663;;;;
Electricity/Heat;7374;;;;
Industrial Processes;2082;;;;
Industrial Processes;2110;;;;
Industrial Processes;2111;;;;
Industrial Processes;2060;;;;
Industrial Processes;2000;;;;
Industrial Processes;2800;;;;
Industrial Processes;9998;;;;
Industrial Processes;8734;;;;
Industrial Processes;2086;;;;
Industrial Processes;2800;;;;
Industrial Processes;2834;;;;
Industrial Processes;3711;;;;
Industrial Processes;2721;;;;
Industrial Processes;2650;;;;
Industrial Processes;2100;;;;
Industrial Processes;2830;;;;
Industrial Processes;3313;;;;
Industrial Processes;5160;;;;
Industrial Processes;2821;;;;
Industrial Processes;9997;;;;
Industrial Processes;8090;;;;
Industrial Processes;2830;;;;
Industrial Processes;2621;;;;
Industrial Processes;2600;;;;
Industrial Processes;2621;;;;
Industrial Processes;2810;;;;
Finance;6199;;;;
Finance;6311;;;;
Finance;6798;;;;
Finance;6532;;;;
Finance;6300;;;;
Finance;7320;;;;
Finance;6200;;;;
Finance;6799;;;;
Finance;6510;;;;
Finance;6500;;;;
Finance;6311;;;;
Finance;8111;;;;
Finance;7380;;;;
Finance;6370;;;;
Finance;971;;;;
Finance;6351;;;;
Finance;7389;;;;
Finance;7311;;;;
Finance;6020;;;;
Finance;8748;;;;
Finance;4830;;;;